n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
32735,42014,51305,60608,69887,79203,88482,97797,107048.6,116338.4,125644.16,134935.4982,144226.8364,153518.1745,162809.5127,172100.8509,181392.1891,190683.5273,199974.8655,209266.2036
35429,47355,59281,71207,85868,101986,118125,134253,145351.9643,159499.5119,173647.0595,187794.6071,201942.1548,216089.7024,230237.25,244384.7976,258532.3452,272679.8929,286273.1526,300282.1282
38123,52384,67233,81819,96380,110942,125468,140092.4286,154674.5,169256.5714,183838.6429,198420.7143,213002.7857,227584.8571,242166.9286,256749,271331.0714,285913.1429,300495.2143,315077.2857
39331,58013,75222,92418,109603,126800,144009,161626.4286,178983.1786,196339.9286,213696.6786,231053.4286,248410.1786,265766.9286,283123.6786,300480.4286,317837.1786,335193.9286,352550.6786,369907.4286
43511,63354,83186,103023.5,122849.5,142669.5,162502,182337.5714,202168.5536,221999.5357,241830.5179,261661.5,281492.4821,301323.4643,321154.4464,340985.4286,360816.4107,380647.3929,400478.375,420309.3571
46217,68625.4,91156.3,113627.7,135815.5,157844.2,179894.4,202472.7857,224763.1071,247053.4286,269343.75,291634.0714,313924.3929,336214.7143,358505.0357,380795.3571,403085.6786,425376,447666.3214,469956.6429
48911,73959.2,99126.6,124231.9,148781.5,173018.9,197286.8,222602.5143,247349.0036,272095.4929,296841.9821,321588.4714,346334.9607,371081.45,395827.9393,420574.4286,445320.9179,470067.4071,494813.8964,519560.3857
51605,79293,107096.9,134836.1,161747.5,188193.6,214679.2,242732.2429,269934.9,297137.5571,324340.2143,351542.8714,378745.5286,405948.1857,433150.8429,460353.5,487556.1571,514758.8143,541961.4714,569164.1286
54299,84626.8,115067.2,145440.3,174713.5,203368.3,232071.6,262861.9714,292520.7964,322179.6214,351838.4464,381497.2714,411156.0964,440814.9214,470473.7464,500132.5714,529791.3964,559450.2214,589109.0464,618767.8714
56993,89960.6,123037.5,156044.5,187679.5,218543,249464,282991.7,315106.6929,347221.6857,379336.6786,411451.6714,443566.6643,475681.6571,507796.65,539911.6429,572026.6357,604141.6286,636256.6214,668371.6143
59687,95294.4,131007.8,166648.7,200645.5,233717.7,266856.4,303121.4286,337692.5893,372263.75,406834.9107,441406.0714,475977.2321,510548.3929,545119.5536,579690.7143,614261.875,648833.0357,683404.1964,717975.3571
74687,100628.2,138978.1,177252.9,213611.5,248892.4,284248.8,319735.1571,355443.9857,391152.8143,426861.6429,462570.4714,498279.3,533988.1286,569696.9571,605405.7857,641114.6143,676823.4429,712532.2714,748241.1
73279,105962,146948.4,187857.1,226577.5,264067.1,301641.2,341036.8857,379641.3821,418245.8786,456850.375,495454.8714,534059.3679,572663.8643,611268.3607,649872.8571,688477.3536,727081.85,765686.3464,804290.8429
77731,111295.8,154918.7,198461.3,239543.5,279241.8,319033.6,360664.3286,401536.6357,442408.9429,483281.25,524153.5571,565025.8643,605898.1714,646770.4786,687642.7857,728515.0929,769387.4,810259.7071,851132.0143
82183,116629.6,162889,209065.5,252509.5,294416.5,336426,380291.7714,423431.8893,466572.0071,509712.125,552852.2429,595992.3607,639132.4786,682272.5964,725412.7143,768552.8321,811692.95,854833.0679,897973.1857
86635,121963.4,170859.3,219669.7,265475.5,309591.2,353818.4,399919.2143,445327.1429,490735.0714,536143,581550.9286,626958.8571,672366.7857,717774.7143,763182.6429,808590.5714,853998.5,899406.4286,944814.3571
91087,127297.2,178829.6,230273.9,278441.5,324765.9,371210.8,419546.6571,467222.3964,514898.1357,562573.875,610249.6143,657925.3536,705601.0929,753276.8321,800952.5714,848628.3107,896304.05,943979.7893,991655.5286
95539,132631,186799.9,240878.1,291407.5,339940.6,388603.2,439174.1,489117.65,539061.2,589004.75,638948.3,688891.85,738835.4,788778.95,838722.5,888666.05,938609.6,988553.15,1038496.7
99991,137964.8,194770.2,251482.3,304373.5,355115.3,405995.6,458801.5429,511012.9036,563224.2643,615435.625,667646.9857,719858.3464,772069.7071,824281.0679,876492.4286,928703.7893,980915.15,1033126.511,1085337.871
104443,143298.6,202740.5,262086.5,317339.5,370290,423388,478428.9857,532908.1571,587387.3286,641866.5,696345.6714,750824.8429,805304.0143,859783.1857,914262.3571,968741.5286,1023220.7,1077699.871,1132179.043